Designator,Mid X,Mid Y,Rotation,Layer
C1,123.23,-85.94,180.0,top
C10,131.37,-91.11,270.0,top
C11,128.51,-76.54,90.0,top
C12,131.28,-79.35,90.0,top
C13,124.905,-63.84,180.0,top
C14,126.045,-70.51,180.0,top
C15,125.01,-92.73,90.0,top
C16,130.25,-93.08,90.0,top
C17,126.02,-74.93,180.0,top
C2,134.66,-85.77,0.0,top
C3,123.76,-81.18,180.0,top
C4,132.47,-79.72,90.0,top
C5,130.26,-91.11,270.0,top
C6,129.51,-76.53,90.0,top
C7,133.44,-81.21,0.0,top
C8,130.52,-75.72,90.0,top
C9,133.94,-79.78,45.0,top
D1,134.455,-64.24,0.0,top
J1,128.505,-57.715,180.0,top
J2,119.615,-80.715,0.0,bottom
J3,137.395,-80.715,0.0,bottom
J4,128.505,-104.605,270.0,bottom
R1,129.9,-64.04,270.0,top
R2,127.54,-64.13,270.0,top
R3,130.15,-79.26,270.0,top
R4,129.15,-79.26,270.0,top
R5,128.77,-90.44,180.0,top
R6,124.12,-74.96,180.0,top
R7,131.36,-71.45,180.0,top
SW1,131.43,-68.0,270.0,top
U1,125.99,-67.3325,270.0,top
U2,128.505,-84.715,90.0,top
U3,125.035,-76.78,0.0,top
Y1,127.6,-92.75,180.0,top
